Gene,Non-unique Gene name,Annotation,CAI_ATCC_49725,CAI_ATCC_49726,CAI_BKPL_MKS099,CAI_BKPL_MSK070,CAI_BKPL_MSK091,CAI_BKPL_MSK096,CAI_BKPL_MSK109,CAI_BKPL_MSK121,CAI_BKPL_MSK125,CAI_BKPL_MSK161,CAI_BKPL_MSK270,CAI_BKPL_MSK273,CAI_DS_CA1,CAI_DS_CA2,CAI_DS_CA3,CAI_DS_CA4,CAI_DS_CA5,CAI_DS_CA6,CAI_DS_CA8,CAI_DS_CA9,CAI_KPL_079,CAI_KPL_1818,CAI_KPL_1824,CAI_KPL_1986,CAI_KPL_1996,CAI_KPL_1998,CAI_KPL_2004,CAI_KPL_2617,CAI_KPL_2618,CAI_KPL_2641,CAI_KPL_2652,CAI_KPL_2660,CAI_KPL_2783,CAI_KPL_2859,CAI_KPL_3647,CAI_KPL_3674,CAI_KPL_3703,CAI_KPL_3774,CAI_KPL_3802,CAI_KPL_3832,CAI_KPL_3921,CAI_KPL_3926,CAI_KPL_3970,CAI_KPL_4034,CAI_KPL_4065,CAI_KPL_4075,CAI_KPL_MKS076,CAI_KPL_MSK075,CAI_KPL_MSK077,CAI_LRK_p3_SID1129,CAI_MAM_C779,CAI_MAM_C781,CAI_MAM_C787,CAI_SDB_Cl5570,CAI_SDB_Cl6012,CAI_SH_157,CAI_SH_192,CAI_SH_219,CAI_SH_23,CAI_SH_247,CAI_SH_281,CAI_SH_41,CAI_strain_NCTC934,CAII_SH_79,CAII_SH_98,CAII_DS_CA7,CAII_SDB_CI5886,CAII_SH_184,CAIII_KPL_1855,CAIII_SH_262,CAIV_SDB_Cl5456,CM_strain_06T638,CM_strain_12T220,CM_strain_12T66,CM_strain_14T168,CM_strain_14T424,CM_strain_14T514,CM_strain_14T631,CM_strain_150801,CM_strain_151011,CM_strain_160430,CM_strain_160603,CM_strain_160806,CM_strain_160811,CM_strain_160812,CM_strain_161211,CM_strain_170718,CM_strain_171015,CM_strain_171203,CM_strain_180126,CM_strain_180208,CM_strain_180216,CM_strain_9T245,CM_strain_CCUG_32361,CM_strain_NML_080212,CM_strain_NML_120205
group_1930,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNKBOAAJ_02137,,,,,,,,,,,,,LDPIAJMB_02389,,,,,,,,,,,,,,,,,,CCMCAHCO_02029,,,,,,,,,,,,,,
group_1929,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNKBOAAJ_02135,,,,,,,,,,,,,LDPIAJMB_02387,,,,,,,,,,,,,,,,,,CCMCAHCO_02031,,,,,,,,,,,,,,
group_1869,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_02330,JHDPCHFA_02441,,,OGHHNOBM_01580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1868,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00872,JHDPCHFA_00945,,,OGHHNOBM_00158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1865,,Insertion sequence IS5376 putative ATP-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_01609,JHDPCHFA_01672,,,OGHHNOBM_00886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1863,,Insertion sequence IS5376 putative ATP-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00385,JHDPCHFA_00381,,,OGHHNOBM_01880,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1862,,hypothetical protein,,,GENJCMKD_01399,,,,,,KEENHLLD_00824,,,,,,,,,,,,,,,,,,,IGDBGLLD_00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1858,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_02331,JHDPCHFA_02442,,,OGHHNOBM_01581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1857,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00542,JHDPCHFA_00542,,,OGHHNOBM_01532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1856,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_01764,JHDPCHFA_02390,,,OGHHNOBM_00275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1855,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_01608,JHDPCHFA_01671,,,OGHHNOBM_00885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1854,,hypothetical protein,,,,,,,,,,,,,,14_refound_143_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_01065,,,,OGHHNOBM_02166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1853,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00873,JHDPCHFA_00946,,,OGHHNOBM_00159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1852,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00721,JHDPCHFA_00786,,,OGHHNOBM_00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1850,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00384,JHDPCHFA_00380,,,OGHHNOBM_01881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1847,,hypothetical protein,,,,,,,,KKDHGCNG_00720,,,CODCKMBH_00400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DKGGAEON_00348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1839,,hypothetical protein,,,GENJCMKD_01402,,,,,,KEENHLLD_00821,,,,,,,,,,,,,,,,,,,IGDBGLLD_00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1829,,hypothetical protein,,,,,,,,KKDHGCNG_00129,,,CODCKMBH_02162,,,,,,,,,,,LKGNFBEP_00246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1827,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFHPBIAF_01155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00200,JHDPCHFA_00192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1825,,hypothetical protein,,,,,,,,KKDHGCNG_01082,,JLFNHPIJ_01959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DKGGAEON_01160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1813,,IS3 family transposase IS3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_02263,JHDPCHFA_01192,,,OGHHNOBM_00409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1811,,IS3 family transposase IS3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00852,JHDPCHFA_00925,,,OGHHNOBM_02406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1810,,IS3 family transposase IS3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00753,JHDPCHFA_00919,,,OGHHNOBM_01666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1809,,IS3 family transposase IS3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00690,JHDPCHFA_00747,,,OGHHNOBM_01290,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1808,,IS3 family transposase IS3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00684,JHDPCHFA_00184,,,OGHHNOBM_01018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1805,,IS3 family transposase IS3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00185,JHDPCHFA_00625,,,OGHHNOBM_01323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1798,,IS3 family transposase IS1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_02264,JHDPCHFA_01193,,,OGHHNOBM_01647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1797,,hypothetical protein,,,,,,,,,,,,,NANKJKFF_00918,CCGNCHJI_00848,GOFIAKIM_02381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1794,,IS3 family transposase IS1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00691,JHDPCHFA_00748,,,OGHHNOBM_01289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1793,,IS3 family transposase IS1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00683,JHDPCHFA_00185,,,OGHHNOBM_01019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1790,,IS3 family transposase IS1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00196,JHDPCHFA_00187,,,OGHHNOBM_02310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1789,,IS3 family transposase IS1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00184,JHDPCHFA_00626,,,OGHHNOBM_01324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1788,,IS3 family transposase IS1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00038,JHDPCHFA_00043,,,OGHHNOBM_00136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1777,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMFMOMKF_01220,,,LHCGKHIJ_01338,,,,,,,KEGECLGJ_01652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1755,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPIHPAA_02272,,IHELPHKG_00548,,,,,,,,,,,,,,IBMNCEGB_01237,,,,,,
group_1728,,hypothetical protein,,,GENJCMKD_00386,,,,,,KEENHLLD_00480,,,,,,,,,,,,,LKGNFBEP_00451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1706,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JHDPCHFA_01829,PGMBCLCL_02226,LEOIACCC_02322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1651,,IS3 family transposase ISAar26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_02329,JHDPCHFA_02440,,,OGHHNOBM_01579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1631,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,LKGNFBEP_02252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_refound_478,OGHHNOBM_02367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abgB,abgB,p-aminobenzoyl-glutamate hydrolase subunit B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMFMOMKF_01216,,,LHCGKHIJ_01333,,,,,,,KEGECLGJ_01655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1600,,hypothetical protein,,,GENJCMKD_01404,,,,,,KEENHLLD_00819,,,,,,,,,,,,,,,,,,,IGDBGLLD_00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1591,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPIHPAA_01094,,IHELPHKG_01273,,,,,,,,,,,,,,IBMNCEGB_01412,,,,,,
group_1568,,hypothetical protein,,,,,,,,,,,CODCKMBH_01754,KIHHBJFA_01361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NBIGHBNP_01277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1567,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNKBOAAJ_02133,,,,,,,,,,,,,LDPIAJMB_02385,,,,,,,,,,,,,,,,,,CCMCAHCO_02033,,,,,,,,,,,,,,
group_1555,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNKBOAAJ_02140,,,,,,,,,,,,,LDPIAJMB_02392,,,,,,,,,,,,,,,,,,CCMCAHCO_02026,,,,,,,,,,,,,,
group_1554,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNKBOAAJ_02138,,,,,,,,,,,,,LDPIAJMB_02390,,,,,,,,,,,,,,,,,,CCMCAHCO_02028,,,,,,,,,,,,,,
group_1553,,IS256 family transposase IS1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJBHHKKH_01676,,BHFJFGML_02365,,MLMKMFAK_02075,,,,,,,,,,,,,
group_1547,,hypothetical protein,,,GENJCMKD_01394,,,,,,KEENHLLD_00829,,,,,,,,,,,,,,,,,,,IGDBGLLD_00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1537,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMFMOMKF_02198,,,,,,,,,,,,,,,,,,LJBGMHMC_00294,,LIONBGAB_02020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
btuD_1,btuD_1,Vitamin B12 import ATP-binding protein BtuD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HCNPNPGF_00149,,CCMCAHCO_00314,,,,,,,HHABANBK_00845,,,,,,,
group_1521,,hypothetical protein,,,GENJCMKD_01401,,,,,,KEENHLLD_00822,,,,,,,,,,,,,,,,,,,IGDBGLLD_00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1510,,hypothetical protein,,,GENJCMKD_00385,,,,,,KEENHLLD_00479,,,,,,,,,,,,,LKGNFBEP_00452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1509,,N-acetyldiaminopimelate deacetylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LJBGMHMC_01044,,LIONBGAB_01198,,,NBIGHBNP_00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1508,,hypothetical protein,,,,,,,GCMCGMEO_02184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KGEDCIMK_01139,,,KCBPFIDL_01211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1504,,hypothetical protein,,,GENJCMKD_00383,,,,,,KEENHLLD_00477,,,,,,,,,,,,,LKGNFBEP_00454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1500,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHJNIDKA_01698,,,,,,,,,,,,,,,,OHPNAJOO_01204,,EAOLOMHJ_00508,,,
group_1497,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AJEFBAEL_00537,,,,,,,,,,,,JGGIPLAJ_01443,,,,,,,,,HAGCGINO_01734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1494,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHJNIDKA_01697,,,,,,,,,,,,,,,,OHPNAJOO_01205,,EAOLOMHJ_00507,,,
group_1488,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JHDPCHFA_01834,PGMBCLCL_02230,LEOIACCC_02327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brnQ_1,brnQ_1,Branched-chain amino acid transport system 2 carrier protein,,,,,,,,,,,,,,,,,AACCAIGM_01240,,,LNLCNHAK_01489,,,,,,,,,,,,,,,,,,,KEGECLGJ_02060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yejF_2,yejF_2,putative ABC transporter ATP-binding protein YejF,,,,,,,,,,,,,,,,,,,,LNLCNHAK_02385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABCKMHNF_01831,,,,,,,,KHIGLMDP_01132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1427,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HCNPNPGF_00147,,CCMCAHCO_00316,,,,,,,HHABANBK_00843,,,,,,,
group_1421,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMFMOMKF_00019,,,,,OCDCHEMI_00158,,,,,,,,,,,,,,,,,,,,,HDNBEOBM_01510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1412,,hypothetical protein,,,,GGNGMLNM_01173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EIGELMEO_00891,,,,,,,,,,,,,,,,,,,,,,,,,KHIGLMDP_01808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1400,,IS481 family transposase ISAar22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CJININDG_01823,,,,,,,,,,FNKBOAAJ_01449,,,,,,FJKFCLGL_01123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1392,,hypothetical protein,,,,,,,,,,,,,NANKJKFF_00919,CCGNCHJI_00849,GOFIAKIM_02380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1389,,hypothetical protein,,,GENJCMKD_01406,,,,,,KEENHLLD_00817,,,,,,,,,,,,,,,,,,,IGDBGLLD_00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thiQ,;thiQ,hypothetical protein;Thiamine import ATP-binding protein ThiQ,,,,,,,GCMCGMEO_01137,KKDHGCNG_00917,,,,,,,,,,,,,,,,,,,,,OMFMOMKF_00639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1359,,hypothetical protein,,,,,,,,,,,,,,,,,,,,LNLCNHAK_02384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABCKMHNF_01832,,,,,,,,KHIGLMDP_01133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1357,,hypothetical protein,,,GENJCMKD_00384,,,,,,KEENHLLD_00478,,,,,,,,,,,,,LKGNFBEP_00453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cysH_2~~~cysH_1,cysH_2;cysH_1,Phosphoadenosine phosphosulfate reductase,,,GENJCMKD_00382,,,,,,KEENHLLD_00476,,,,,,,,,,,,,LKGNFBEP_00455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norM,norM,Multidrug resistance protein NorM,,,,,,,,,,,,,,,,,,,,LNLCNHAK_01118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABCKMHNF_02304,,,,,,,,KHIGLMDP_01136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1342,,hypothetical protein;Insertion sequence IS5376 putative ATP-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDPIAJMB_00541,JHDPCHFA_00538,,,OGHHNOBM_01533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1334,,hypothetical protein,,,,,,,,,,,CODCKMBH_01755,KIHHBJFA_01362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NBIGHBNP_01276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1316,,hypothetical protein,BHJAACOI_01511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AHOPDIHB_01674,,,,,,,,,,,,,,,,,,,KGEDCIMK_01681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1311,,hypothetical protein,,,GENJCMKD_01409,,,,,,KEENHLLD_00814,,,,,,,,,,,,,,,,,,,IGDBGLLD_00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1307,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KGEDCIMK_00265,,,,,,,,,,,,JMBHJBPL_02234,,,,,,,,,HCNPNPGF_00369,,,,,,,,,,,,,,,,
group_1306,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KGEDCIMK_00267,,,,,,,,,,,,JMBHJBPL_02232,,,,,,,,,HCNPNPGF_00371,,,,,,,,,,,,,,,,
group_1300,,hypothetical protein,,,GENJCMKD_01388,,,,,,KEENHLLD_00835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEGECLGJ_02028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1291,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FMPCHCOO_00299,,,,,,,,,,EKOBKANM_02218,DIAOIDPF_01649,
group_1268,,hypothetical protein,,,GENJCMKD_00633,,,,GCMCGMEO_02171,,9_refound_108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1259,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHHPPKJL_01023,,,,,OHPNAJOO_00919,,,,,IIDBPGJP_01307
group_1252,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HCNPNPGF_00145,,CCMCAHCO_00318,,,,,,,HHABANBK_00841,,,,,,,
group_1234,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AJEFBAEL_00538,,,,,,,,,,,,JGGIPLAJ_01444,,,,,,,,,HAGCGINO_01733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1222,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMFMOMKF_02199,,,,,,,,,,,,,,,,,,LJBGMHMC_00293,,LIONBGAB_02019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abgT_1,abgT_1,p-aminobenzoyl-glutamate transport protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMFMOMKF_01214,,,LHCGKHIJ_01331,,,,,,,KEGECLGJ_01657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1218,,hypothetical protein,,HKMEEOOC_01174,,,,,,,,,,,,,,,,,,LNLCNHAK_00578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KGEDCIMK_00034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_1195,,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDJAJFCO_01634,,BADHAMCG_02064,,,,,,93_refound_746,,,
